Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time
Other Workers,U,U,U,U,U,C,C,C,2006-06-01
4th,C,C,C,C,C,C,C,C,2006-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-06-01
5th,C,C,C,C,C,C,C,C,2006-06-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-06-01
1st,C,01JAN06,C,C,C,C,C,C,2006-07-01
2nd,C,01JAN03,C,C,01MAR05,C,C,C,2006-07-01
3rd,01OCT01,15APR01,22APR01,01OCT01,01OCT01,C,C,C,2006-07-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-07-01
Other Workers,U,U,U,U,U,C,C,C,2006-07-01
4th,C,C,C,C,C,C,C,C,2006-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-07-01
5th,C,C,C,C,C,C,C,C,2006-07-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-07-01
1st,C,01JAN06,C,C,C,C,C,C,2006-08-01
2nd,C,U,C,C,01MAR05,C,C,C,2006-08-01
3rd,01OCT01,01APR01,22APR01,01OCT01,01OCT01,C,C,C,2006-08-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-08-01
Other Workers,U,U,U,U,U,C,C,C,2006-08-01
4th,C,C,C,C,C,C,C,C,2006-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-08-01
5th,C,C,C,C,C,C,C,C,2006-08-01
Targeted Employment Areas/  Regional Centers,C,C,C,C,C,C,C,C,2006-08-01
1st,C,C,C,C,C,C,C,C,2006-09-01
2nd,C,U,C,C,01MAR05,C,C,C,2006-09-01
3rd,01MAR02,15APR01,22APR01,01MAR02,01MAR02,C,C,C,2006-09-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-09-01
Other Workers,U,U,U,U,U,C,C,C,2006-09-01
4th,C,C,C,C,C,C,C,C,2006-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-09-01
5th,C,C,C,C,C,C,C,C,2006-09-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-09-01
1st,C,C,C,C,C,C,C,C,2006-10-01
2nd,C,15JUN02,C,C,01APR05,C,C,C,2006-10-01
3rd,01MAY02,22APR01,01MAY01,01MAY02,01MAY02,C,C,C,2006-10-01
Schedule A Workers,C,C,C,C,C,C,C,C,2006-10-01
Other Workers,01JAN01,01JAN01,01JAN01,01JAN01,01JAN01,C,C,C,2006-10-01
4th,C,C,C,C,C,C,C,C,2006-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-10-01
5th,C,C,C,C,C,C,C,C,2006-10-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-10-01
1st,C,C,C,C,C,C,C,C,2006-11-01
2nd,C,01JAN03,C,C,15APR05,C,C,C,2006-11-01
3rd,01JUL02,22APR01,08MAY01,01JUL02,01JUL02,C,C,C,2006-11-01
Schedule A Workers,01OCT05,01OCT05,01OCT05,01OCT05,01OCT05,C,C,C,2006-11-01
Other Workers,01MAY01,01MAY01,01MAY01,01MAY01,01MAY01,C,C,C,2006-11-01
4th,C,C,C,C,C,C,C,C,2006-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-11-01
5th,C,C,C,C,C,C,C,C,2006-11-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-11-01
1st,C,C,C,C,C,C,C,C,2006-12-01
2nd,C,08JAN03,C,C,22APR05,C,C,C,2006-12-01
3rd,01AUG02,22APR01,08MAY01,01AUG02,01AUG02,C,C,C,2006-12-01
Schedule A Workers,U,U,U,U,U,C,C,C,2006-12-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2006-12-01
4th,C,C,C,C,C,C,C,C,2006-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-12-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2006-12-01
5th,C,C,C,C,C,C,C,C,2006-12-01
Targeted Employ-ment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-12-01
1st,C,C,C,C,C,C,C,C,2007-01-01
2nd,C,08JAN03,C,C,22APR05,C,C,C,2007-01-01
3rd,01AUG02,08MAY01,15MAY01,01AUG02,01AUG02,C,C,C,2007-01-01
Schedule A Workers,15JUN04,15JUN04,15JUN04,15JUN04,15JUN04,C,C,C,2007-01-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-01-01
4th,C,C,C,C,C,C,C,C,2007-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-01-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2007-01-01
5th,C,C,C,C,C,C,C,C,2007-01-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-01-01
1st,C,C,C,C,C,C,C,C,2007-02-01
2nd,C,08JAN03,C,C,22APR05,C,C,C,2007-02-01
3rd,01AUG02,08MAY01,15MAY01,01AUG02,01AUG02,C,C,C,2007-02-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-02-01
4th,C,C,C,C,C,C,C,C,2007-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-02-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2007-02-01
5th,C,C,C,C,C,C,C,C,2007-02-01
Targeted Employ-ment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-02-01
1st,C,C,C,C,C,C,C,C,2007-03-01
2nd,C,08JAN03,C,C,22APR05,C,C,C,2007-03-01
3rd,01AUG02,08MAY01,15MAY01,01AUG02,01AUG02,C,C,C,2007-03-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-03-01
4th,C,C,C,C,C,C,C,C,2007-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-03-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2007-03-01
5th,C,C,C,C,C,C,C,C,2007-03-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-03-01
1st,C,C,C,C,C,C,C,C,2007-04-01
2nd,C,08JAN03,C,C,22APR05,C,C,C,2007-04-01
3rd,01AUG02,08MAY01,15MAY01,01AUG02,01AUG02,C,C,C,2007-04-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-04-01
4th,C,C,C,C,C,C,C,C,2007-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-04-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2007-04-01
5th,C,C,C,C,C,C,C,C,2007-04-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-04-01
1st,C,C,C,C,C,C,C,C,2007-05-01
2nd,C,08JAN03,C,C,22APR05,C,C,C,2007-05-01
3rd,01AUG03,08MAY01,15MAY01,01AUG03,01AUG02,C,C,C,2007-05-01
Other Workers,U,U,U,U,U,C,C,C,2007-05-01
4th,C,C,C,C,C,C,C,C,2007-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-05-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2007-05-01
5th,C,C,C,C,C,C,C,C,2007-05-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-05-01
1st,C,C,C,C,C,C,C,C,2007-06-01
2nd,C,01APR04,C,C,01JAN06,C,C,C,2007-06-01
3rd,01JUN05,01JUN03,01JUN03,01JUN05,01JUN03,C,C,C,2007-06-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-06-01
4th,C,C,C,C,C,C,C,C,2007-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-06-01
Iraqi & Afghani Translators,18SEP06,18SEP06,18SEP06,18SEP06,18SEP06,C,C,C,2007-06-01
5th,C,C,C,C,C,C,C,C,2007-06-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-06-01
1st,C,C,C,C,C,C,C,C,2007-07-01
2nd,C,C,C,C,C,C,C,C,2007-07-01
3rd,C,C,C,C,C,C,C,C,2007-07-01
Other Workers,U,U,U,U,U,C,C,C,2007-07-01
4th,C,C,C,C,C,C,C,C,2007-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-07-01
Iraqi & Afghani Translators,C,C,C,C,C,C,C,C,2007-07-01
5th,C,C,C,C,C,C,C,C,2007-07-01
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-07-01
1st,U,U,U,U,U,C,C,C,2007-08-01
2nd,U,U,U,U,U,C,C,C,2007-08-01
3rd,U,U,U,U,U,C,C,C,2007-08-01
Other Workers,U,U,U,U,U,C,C,C,2007-08-01
4th,U,U,U,U,U,C,C,C,2007-08-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2007-08-01
5th,U,U,U,U,U,C,C,C,2007-08-01
Targeted Employment Areas/Regional Centers,U,U,U,U,U,C,C,C,2007-08-01
1st,01JAN07,01JAN07,01JAN07,01JAN07,01JAN07,C,C,C,2007-09-01
2nd,01JAN07,01APR04,01JAN07,01JAN07,01JAN06,C,C,C,2007-09-01
3rd,01AUG02,U,U,01AUG02,U,C,C,C,2007-09-01
Other Workers,U,U,U,U,U,C,C,C,2007-09-01
4th,01JAN07,01JAN07,01JAN07,01JAN07,01JAN07,C,C,C,2007-09-01
Certain Religious Workers,01JAN07,01JAN07,01JAN07,01JAN07,01JAN07,C,C,C,2007-09-01
5th,01JAN07,01JAN07,01JAN07,01JAN07,01JAN07,C,C,C,2007-09-01
Targeted Employment Areas/Regional Centers,01JAN07,01JAN07,01JAN07,01JAN07,01JAN07,C,C,C,2007-09-01
1st,C,C,C,C,C,C,C,C,2007-10-01
2nd,C,01APR04,C,C,01JAN06,C,C,C,2007-10-01
3rd,01AUG02,22APR01,22APR01,01AUG02,01SEP01,C,C,C,2007-10-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-10-01
4th,C,C,C,C,C,C,C,C,2007-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-10-01
5th,C,C,C,C,C,C,C,C,2007-10-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2007-10-01
1st,C,C,C,C,C,C,C,C,2007-11-01
2nd,C,01APR04,C,C,01JAN06,C,C,C,2007-11-01
3rd,01AUG02,22APR01,22APR01,01AUG02,01SEP01,C,C,C,2007-11-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-11-01
4th,C,C,C,C,C,C,C,C,2007-11-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-11-01
5th,C,C,C,C,C,C,C,C,2007-11-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2007-11-01
1st,C,C,C,C,C,C,C,C,2007-12-01
2nd,C,01JAN02,C,C,01JAN03,C,C,C,2007-12-01
3rd,01SEP02,01MAY01,22APR01,01SEP02,15OCT01,C,C,C,2007-12-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2007-12-01
4th,C,C,C,C,C,C,C,C,2007-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-12-01
5th,C,C,C,C,C,C,C,C,2007-12-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2007-12-01
1st,C,C,C,C,C,C,C,C,2008-01-01
2nd,C,01JAN00,C,C,01JAN03,C,C,C,2008-01-01
3rd,15OCT02,01MAY01,22APR01,15OCT02,01NOV01,C,C,C,2008-01-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2008-01-01
4th,C,C,C,C,C,C,C,C,2008-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-01-01
5th,C,C,C,C,C,C,C,C,2008-01-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-01-01
1st,C,C,C,C,C,C,C,C,2008-02-01
2nd,C,U,C,C,01JAN03,C,C,C,2008-02-01
3rd,01NOV02,08MAY01,22APR01,01NOV02,15NOV01,C,C,C,2008-02-01
Other Workers,01OCT01,01OCT01,01OCT01,01OCT01,01OCT01,C,C,C,2008-02-01
4th,C,C,C,C,C,C,C,C,2008-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-02-01
5th,C,C,C,C,C,C,C,C,2008-02-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-02-01
1st,C,C,C,C,C,C,C,C,2008-03-01
2nd,C,U,C,C,01DEC03,C,C,C,2008-03-01
3rd,01JAN05,01AUG01,01MAY01,01JAN05,01DEC02,C,C,C,2008-03-01
Other Workers,01JAN02,01JAN02,01JAN02,01JAN02,01JAN02,C,C,C,2008-03-01
4th,C,C,C,C,C,C,C,C,2008-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-03-01
5th,C,C,C,C,C,C,C,C,2008-03-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-03-01
1st,C,C,C,C,C,C,C,C,2008-04-01
2nd,C,01DEC03,C,C,01DEC03,C,C,C,2008-04-01
3rd,01JUL05,01OCT01,01OCT01,01JUL05,08FEB03,C,C,C,2008-04-01
Other Workers,01MAR02,01MAR02,01MAR02,01MAR02,01MAR02,C,C,C,2008-04-01
4th,C,C,C,C,C,C,C,C,2008-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-04-01
5th,C,C,C,C,C,C,C,C,2008-04-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-04-01
1st,C,C,C,C,C,C,C,C,2008-05-01
2nd,C,01JAN04,C,C,01JAN04,C,C,C,2008-05-01
3rd,01MAR06,01NOV01,01JUL02,01MAR06,22MAR03,C,C,C,2008-05-01
Other Workers,01JAN03,01JAN03,01JAN03,01JAN03,01JAN03,C,C,C,2008-05-01
4th,C,C,C,C,C,C,C,C,2008-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-05-01
5th,C,C,C,C,C,C,C,C,2008-05-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-05-01
1st,C,C,C,C,C,C,C,C,2008-06-01
2nd,C,01APR04,C,C,01APR04,C,C,C,2008-06-01
3rd,01MAR06,01NOV01,01JUL02,01MAR06,22MAR03,C,C,C,2008-06-01
Other Workers,01JAN03,01JAN03,01JAN03,01JAN03,01JAN03,C,C,C,2008-06-01
4th,C,C,C,C,C,C,C,C,2008-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-06-01
5th,C,C,C,C,C,C,C,C,2008-06-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-06-01
1st,C,C,C,C,C,C,C,C,2008-07-01
2nd,C,01APR04,C,C,01APR04,C,C,C,2008-07-01
3rd,U,U,U,U,U,C,C,C,2008-07-01
Other Workers,01JAN03,01JAN03,01JAN03,01JAN03,01JAN03,C,C,C,2008-07-01
4th,C,C,C,C,C,C,C,C,2008-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-07-01
5th,C,C,C,C,C,C,C,C,2008-07-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-07-01
1st,C,C,C,C,C,C,C,C,2008-08-01
2nd,C,01JUN06,C,C,01JUN06,C,C,C,2008-08-01
3rd,U,U,U,U,U,C,C,C,2008-08-01
Other Workers,U,U,U,U,U,C,C,C,2008-08-01
4th,C,C,C,C,C,C,C,C,2008-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-08-01
5th,C,C,C,C,C,C,C,C,2008-08-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-08-01
1st,C,C,C,C,C,C,C,C,2008-09-01
2nd,C,01AUG06,C,C,01AUG06,C,C,C,2008-09-01
3rd,U,U,U,U,U,C,C,C,2008-09-01
Other Workers,U,U,U,U,U,C,C,C,2008-09-01
4th,C,C,C,C,C,C,C,C,2008-09-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-09-01
5th,C,C,C,C,C,C,C,C,2008-09-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-09-01
1st,C,C,C,C,C,C,C,C,2008-10-01
2nd,C,01APR03,C,C,01APR04,C,C,C,2008-10-01
3rd,01JAN05,01JUL01,01JUL02,01JAN05,01OCT01,C,C,C,2008-10-01
Other Workers,01JAN03,01JAN03,01JAN03,01JAN03,01JAN03,C,C,C,2008-10-01
4th,C,C,C,C,C,C,C,C,2008-10-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-10-01
5th,C,C,C,C,C,C,C,C,2008-10-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-10-01
1st,C,C,C,C,C,C,C,C,2008-11-01
2nd,C,01JUN03,C,C,01JUN04,C,C,C,2008-11-01
3rd,01MAY05,01OCT01,01SEP02,01MAY05,01FEB02,C,C,C,2008-11-01
Other Workers,15JAN03,15JAN03,15JAN03,15JAN03,15JAN03,C,C,C,2008-11-01
4th,C,C,C,C,C,C,C,C,2008-11-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2008-11-01
5th,C,C,C,C,C,C,C,C,2008-11-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-11-01
1st,C,C,C,C,C,C,C,C,2008-12-01
2nd,C,01JUN03,C,C,01JUN04,C,C,C,2008-12-01
3rd,01MAY05,01OCT01,01SEP02,01MAY05,01FEB02,C,C,C,2008-12-01
Other Workers,15JAN03,15JAN03,15JAN03,15JAN03,15JAN03,C,C,C,2008-12-01
4th,C,C,C,C,C,C,C,C,2008-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-12-01
5th,C,C,C,C,C,C,C,C,2008-12-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-12-01
1st,C,C,C,C,C,C,C,C,2009-01-01
2nd,C,01JUL03,C,C,08JUL04,C,C,C,2009-01-01
3rd,01MAY05,15OCT01,15NOV02,01MAY05,01JUN02,C,C,C,2009-01-01
Other Workers,15MAR03,15MAR03,15MAR03,15MAR03,15MAR03,C,C,C,2009-01-01
4th,C,C,C,C,C,C,C,C,2009-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-01-01
5th,C,C,C,C,C,C,C,C,2009-01-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-01-01
1st,C,C,C,C,C,C,C,C,2009-02-01
2nd,C,01JAN04,C,C,01JAN05,C,C,C,2009-02-01
3rd,01MAY05,15OCT01,01APR03,01MAY05,01OCT02,C,C,C,2009-02-01
Other Workers,15MAR03,15OCT01,15OCT01,15MAR03,01OCT02,C,C,C,2009-02-01
4th,C,C,C,C,C,C,C,C,2009-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-02-01
5th,C,C,C,C,C,C,C,C,2009-02-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-02-01
1st,C,C,C,C,C,C,C,C,2009-03-01
2nd,C,15FEB04,C,C,15FEB05,C,C,C,2009-03-01
3rd,01MAY05,15OCT01,15AUG03,01MAY05,22OCT02,C,C,C,2009-03-01
Other Workers,15MAR03,15OCT01,15MAR03,15MAR03,22OCT02,C,C,C,2009-03-01
4th,C,C,C,C,C,C,C,C,2009-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-03-01
5th,C,C,C,C,C,C,C,C,2009-03-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-03-01
1st,C,C,C,C,C,C,C,C,2009-04-01
2nd,C,15FEB04,C,C,15FEB05,C,C,C,2009-04-01
3rd,01MAR03,01NOV01,01MAR03,01MAR03,01MAR03,C,C,C,2009-04-01
Other Workers,01MAR01,01MAR01,01MAR01,01MAR01,01MAR01,C,C,C,2009-04-01
4th,C,C,C,C,C,C,C,C,2009-04-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2009-04-01
5th,C,C,C,C,C,C,C,C,2009-04-01
Targeted Employment Areas,C,C,C,C,C,C,C,C,2009-04-01
5th Pilot Progams,U,U,U,U,U,C,C,C,2009-04-01
1st,C,C,C,C,C,C,C,C,2009-05-01
2nd,C,15FEB04,C,C,15FEB05,C,C,C,2009-05-01
3rd,U,U,U,U,U,C,C,C,2009-05-01
Other Workers,U,U,U,U,U,C,C,C,2009-05-01
4th,C,C,C,C,C,C,C,C,2009-05-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-05-01
5th,C,C,C,C,C,C,C,C,2009-05-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-05-01
1st,C,C,C,C,C,C,C,C,2009-06-01
2nd,C,01JAN00,C,C,15FEB05,C,C,C,2009-06-01
3rd,U,U,U,U,U,C,C,C,2009-06-01
Other Workers,U,U,U,U,U,C,C,C,2009-06-01
4th,C,C,C,C,C,C,C,C,2009-06-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-06-01
5th,C,C,C,C,C,C,C,C,2009-06-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-06-01
1st,C,C,C,C,C,C,C,C,2009-07-01
2nd,C,01JAN00,C,C,01JAN00,C,C,C,2009-07-01
3rd,U,U,U,U,U,C,C,C,2009-07-01
Other Workers,U,U,U,U,U,C,C,C,2009-07-01
4th,C,C,C,C,C,C,C,C,2009-07-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-07-01
5th,C,C,C,C,C,C,C,C,2009-07-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-07-01
1st,C,C,C,C,C,C,C,C,2009-08-01
2nd,C,01OCT03,C,C,01OCT03,C,C,C,2009-08-01
3rd,U,U,U,U,U,C,C,C,2009-08-01
Other Workers,U,U,U,U,U,C,C,C,2009-08-01
4th,C,C,C,C,C,C,C,C,2009-08-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-08-01
5th,C,C,C,C,C,C,C,C,2009-08-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-08-01
1st,C,C,C,C,C,C,C,C,2009-09-01
2nd,C,08JAN05,C,C,08JAN05,C,C,C,2009-09-01
3rd,U,U,U,U,U,C,C,C,2009-09-01
Other Worker,U,U,U,U,U,C,C,C,2009-09-01
4th,U,U,U,U,U,C,C,C,2009-09-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2009-09-01
5th,C,C,C,C,C,C,C,C,2009-09-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-09-01
1st,C,C,C,C,C,C,C,C,2009-10-01
2nd,C,22JAN05,C,C,22MAR05,C,C,C,2009-10-01
3rd,01JUN02,15APR01,01MAY02,01JUN02,22FEB02,C,C,C,2009-10-01
Other Workers,01JUN01,15APR01,01JUN01,01JUN01,01JUN01,C,C,C,2009-10-01
4th,C,C,C,C,C,C,C,C,2009-10-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2009-10-01
5th,C,C,C,C,C,C,C,C,2009-10-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-10-01
5th Pilot Programs,U,U,U,U,U,C,C,C,2009-10-01
1st,C,C,C,C,C,C,C,C,2009-11-01
2nd,C,22JAN05,C,C,01APR05,C,C,C,2009-11-01
3rd,01JUN02,22APR01,01JUN02,01JUN02,01JUN02,C,C,C,2009-11-01
Other Workers,01JUN01,22APR01,01JUN01,01JUN01,01JUN01,C,C,C,2009-11-01
4th,C,C,C,C,C,C,C,C,2009-11-01
Certain Religious Workers,U,U,U,U,U,C,C,C,2009-11-01
5th,C,C,C,C,C,C,C,C,2009-11-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-11-01
5th Pilot Programs,U,U,U,U,U,C,C,C,2009-11-01
1st,C,C,C,C,C,C,C,C,2009-12-01
2nd,C,22JAN05,C,C,01APR05,C,C,C,2009-12-01
3rd,01JUN02,01MAY01,01JUN02,01JUN02,01JUN02,C,C,C,2009-12-01
Other Workers,01JUN01,01MAY01,01JUN01,01JUN01,01JUN01,C,C,C,2009-12-01
4th,C,C,C,C,C,C,C,C,2009-12-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-12-01
5th,C,C,C,C,C,C,C,C,2009-12-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-12-01
5th Pilot Programs,C,C,C,C,C,C,C,C,2009-12-01
1st,C,C,C,C,C,C,C,C,2010-01-01
2nd,C,22JAN05,C,C,01MAY05,C,C,C,2010-01-01
3rd,01AUG02,22JUN01,01JUL02,01AUG02,01AUG02,C,C,C,2010-01-01
Other Workers,01JUN01,01JUN01,01JUN01,01JUN01,01JUN01,C,C,C,2010-01-01
4th,C,C,C,C,C,C,C,C,2010-01-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-01-01
5th,C,C,C,C,C,C,C,C,2010-01-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-01-01
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-01-01
1st,C,C,C,C,C,C,C,C,2010-02-01
2nd,C,22JAN05,C,C,22MAY05,C,C,C,2010-02-01
3rd,22SEP02,22JUN01,01JUL02,22SEP02,22SEP02,C,C,C,2010-02-01
Other Workers,01JUN01,01JUN01,01JUN01,01JUN01,01JUN01,C,C,C,2010-02-01
4th,C,C,C,C,C,C,C,C,2010-02-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-02-01
5th,C,C,C,C,C,C,C,C,2010-02-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-02-01
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-02-01
1st,C,C,C,C,C,C,C,C,2010-03-01
2nd,C,01FEB05,C,C,08JUL05,C,C,C,2010-03-01
3rd,15DEC02,01JUL01,01JUL02,15DEC02,15DEC02,C,C,C,2010-03-01
Other Workers,01JUN01,01JUN01,01JUN01,01JUN01,01JUN01,C,C,C,2010-03-01
4th,C,C,C,C,C,C,C,C,2010-03-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-03-01
5th,C,C,C,C,C,C,C,C,2010-03-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-03-01
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-03-01
1st,C,C,C,C,C,C,C,C,2010-04-01
2nd,C,01FEB05,C,C,22AUG05,C,C,C,2010-04-01
3rd,01FEB03,08SEP01,01JUL02,01FEB03,01FEB03,C,C,C,2010-04-01
Other Workers,01JUN01,01JUN01,01JUN01,01JUN01,01JUN01,C,C,C,2010-04-01
4th,C,C,C,C,C,C,C,C,2010-04-01
Certain Religious Workers,C,C,C,C,C,C,C,C,2010-04-01
5th,C,C,C,C,C,C,C,C,2010-04-01
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2010-04-01
5th Pilot Programs,C,C,C,C,C,C,C,C,2010-04-01
1st,C,C,C,C,C,C,C,C,2010-05-01
2nd,C,01FEB05,C,C,22SEP05,C,C,C,2010-05-01
3rd,22APR03,01OCT01,U,22APR03,22APR03,C,C,C,2010-05-01
Other Workers,01JUN01,01JUN01,U,01JUN01,01JUN01,C,C,C,2010-05-01
4th,C,C,C,C,C,C,C,C,2010-05-01
