Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,category
Other Workers,10/1/00,10/1/00,10/1/00,10/1/00,10/1/00,C,C,C,12/1/05,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/05,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/05,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/05,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,12/1/05,5th Targeted Employment Areas
1st,C,7/1/03,C,C,1/1/02,C,C,C,1/1/06,1st
2nd,C,1/1/01,C,C,6/1/01,C,C,C,1/1/06,2nd
3rd,4/1/01,6/1/99,3/1/01,4/1/01,4/1/01,C,C,C,1/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,1/1/06,Schedule A Workers
Other Workers,4/1/01,4/1/01,4/1/01,4/1/01,4/1/01,C,C,C,1/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/06,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,1/1/06,5th Targeted Employment Areas
1st,C,2/1/04,C,C,1/1/03,C,C,C,2/1/06,1st
2nd,C,8/1/01,C,C,4/1/02,C,C,C,2/1/06,2nd
3rd,4/22/01,1/1/00,3/15/01,4/22/01,4/22/01,C,C,C,2/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,2/1/06,Schedule A Workers
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,2/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/06,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2/1/06,5th Targeted Employment Areas
1st,C,7/1/04,C,C,7/1/03,C,C,C,3/1/06,1st
2nd,C,1/1/02,C,C,7/1/02,C,C,C,3/1/06,2nd
3rd,5/1/01,1/1/01,3/22/01,5/1/01,5/1/01,C,C,C,3/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,3/1/06,Schedule A Workers
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,3/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/06,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,3/1/06,5th Targeted Employment Areas
1st,C,1/1/05,C,C,1/1/04,C,C,C,4/1/06,1st
2nd,C,7/1/02,C,C,1/1/03,C,C,C,4/1/06,2nd
3rd,5/1/01,2/1/01,4/8/01,5/1/01,5/1/01,C,C,C,4/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,4/1/06,Schedule A Workers
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,4/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/06,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,4/1/06,5th Targeted Employment Areas
1st,C,7/1/05,C,C,7/1/04,C,C,C,5/1/06,1st
2nd,C,1/1/03,C,C,1/1/04,C,C,C,5/1/06,2nd
3rd,5/1/01,3/1/01,4/15/01,5/1/01,5/1/01,C,C,C,5/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,5/1/06,Schedule A Workers
Other Workers,10/1/00,10/1/00,10/1/00,10/1/00,10/1/00,C,C,C,5/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/06,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,5/1/06,5th Targeted Employment Areas
1st,C,1/1/06,C,C,7/1/05,C,C,C,6/1/06,1st
2nd,C,1/1/03,C,C,7/1/04,C,C,C,6/1/06,2nd
3rd,7/1/01,4/8/01,4/22/01,7/1/01,7/1/01,C,C,C,6/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,6/1/06,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,6/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/06,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,6/1/06,5th Targeted Employment Areas
1st,C,1/1/06,C,C,C,C,C,C,7/1/06,1st
2nd,C,1/1/03,C,C,3/1/05,C,C,C,7/1/06,2nd
3rd,10/1/01,4/15/01,4/22/01,10/1/01,10/1/01,C,C,C,7/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,7/1/06,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,7/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/06,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,7/1/06,5th Targeted Employment Areas
1st,C,1/1/06,C,C,C,C,C,C,8/1/06,1st
2nd,C,U,C,C,3/1/05,C,C,C,8/1/06,2nd
3rd,10/1/01,4/1/01,4/22/01,10/1/01,10/1/01,C,C,C,8/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,8/1/06,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,8/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/06,5th
Targeted Employment Areas/  Regional Centers,C,C,C,C,C,C,C,C,8/1/06,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/06,1st
2nd,C,U,C,C,3/1/05,C,C,C,9/1/06,2nd
3rd,3/1/02,4/15/01,4/22/01,3/1/02,3/1/02,C,C,C,9/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,9/1/06,Schedule A Workers
Other Workers,U,U,U,U,U,C,C,C,9/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/06,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,9/1/06,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/06,1st
2nd,C,6/15/02,C,C,4/1/05,C,C,C,10/1/06,2nd
3rd,5/1/02,4/22/01,5/1/01,5/1/02,5/1/02,C,C,C,10/1/06,3rd
Schedule A Workers,C,C,C,C,C,C,C,C,10/1/06,Schedule A Workers
Other Workers,1/1/01,1/1/01,1/1/01,1/1/01,1/1/01,C,C,C,10/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/06,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,10/1/06,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/06,1st
2nd,C,1/1/03,C,C,4/15/05,C,C,C,11/1/06,2nd
3rd,7/1/02,4/22/01,5/8/01,7/1/02,7/1/02,C,C,C,11/1/06,3rd
Schedule A Workers,10/1/05,10/1/05,10/1/05,10/1/05,10/1/05,C,C,C,11/1/06,Schedule A Workers
Other Workers,5/1/01,5/1/01,5/1/01,5/1/01,5/1/01,C,C,C,11/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/06,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/06,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,11/1/06,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/06,1st
2nd,C,1/8/03,C,C,4/22/05,C,C,C,12/1/06,2nd
3rd,8/1/02,4/22/01,5/8/01,8/1/02,8/1/02,C,C,C,12/1/06,3rd
Schedule A Workers,U,U,U,U,U,C,C,C,12/1/06,Schedule A Workers
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,12/1/06,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/06,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/06,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,12/1/06,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,12/1/06,5th
Targeted Employ-ment Areas/Regional Centers,C,C,C,C,C,C,C,C,12/1/06,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/07,1st
2nd,C,1/8/03,C,C,4/22/05,C,C,C,1/1/07,2nd
3rd,8/1/02,5/8/01,5/15/01,8/1/02,8/1/02,C,C,C,1/1/07,3rd
Schedule A Workers,6/15/04,6/15/04,6/15/04,6/15/04,6/15/04,C,C,C,1/1/07,Schedule A Workers
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,1/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/07,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,1/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,1/1/07,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,1/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/07,1st
2nd,C,1/8/03,C,C,4/22/05,C,C,C,2/1/07,2nd
3rd,8/1/02,5/8/01,5/15/01,8/1/02,8/1/02,C,C,C,2/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,2/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/07,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,2/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,2/1/07,5th
Targeted Employ-ment Areas/Regional Centers,C,C,C,C,C,C,C,C,2/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/07,1st
2nd,C,1/8/03,C,C,4/22/05,C,C,C,3/1/07,2nd
3rd,8/1/02,5/8/01,5/15/01,8/1/02,8/1/02,C,C,C,3/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,3/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/07,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,3/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,3/1/07,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,3/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/07,1st
2nd,C,1/8/03,C,C,4/22/05,C,C,C,4/1/07,2nd
3rd,8/1/02,5/8/01,5/15/01,8/1/02,8/1/02,C,C,C,4/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,4/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/07,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,4/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,4/1/07,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,4/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/07,1st
2nd,C,1/8/03,C,C,4/22/05,C,C,C,5/1/07,2nd
3rd,8/1/03,5/8/01,5/15/01,8/1/03,8/1/02,C,C,C,5/1/07,3rd
Other Workers,U,U,U,U,U,C,C,C,5/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/07,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,5/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,5/1/07,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,5/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/07,1st
2nd,C,4/1/04,C,C,1/1/06,C,C,C,6/1/07,2nd
3rd,6/1/05,6/1/03,6/1/03,6/1/05,6/1/03,C,C,C,6/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,6/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/07,Certain Religious Workers
Iraqi & Afghani Translators,9/18/06,9/18/06,9/18/06,9/18/06,9/18/06,C,C,C,6/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,6/1/07,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,6/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/07,1st
2nd,C,C,C,C,C,C,C,C,7/1/07,2nd
3rd,C,C,C,C,C,C,C,C,7/1/07,3rd
Other Workers,U,U,U,U,U,C,C,C,7/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/07,Certain Religious Workers
Iraqi & Afghani Translators,C,C,C,C,C,C,C,C,7/1/07,Iraqi & Afghani Translators
5th,C,C,C,C,C,C,C,C,7/1/07,5th
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,7/1/07,5th Targeted Employment Areas
1st,U,U,U,U,U,C,C,C,8/1/07,1st
2nd,U,U,U,U,U,C,C,C,8/1/07,2nd
3rd,U,U,U,U,U,C,C,C,8/1/07,3rd
Other Workers,U,U,U,U,U,C,C,C,8/1/07,Other Workers
4th,U,U,U,U,U,C,C,C,8/1/07,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,8/1/07,Certain Religious Workers
5th,U,U,U,U,U,C,C,C,8/1/07,5th
Targeted Employment Areas/Regional Centers,U,U,U,U,U,C,C,C,8/1/07,5th Targeted Employment Areas
1st,1/1/07,1/1/07,1/1/07,1/1/07,1/1/07,C,C,C,9/1/07,1st
2nd,1/1/07,4/1/04,1/1/07,1/1/07,1/1/06,C,C,C,9/1/07,2nd
3rd,8/1/02,U,U,8/1/02,U,C,C,C,9/1/07,3rd
Other Workers,U,U,U,U,U,C,C,C,9/1/07,Other Workers
4th,1/1/07,1/1/07,1/1/07,1/1/07,1/1/07,C,C,C,9/1/07,4th
Certain Religious Workers,1/1/07,1/1/07,1/1/07,1/1/07,1/1/07,C,C,C,9/1/07,Certain Religious Workers
5th,1/1/07,1/1/07,1/1/07,1/1/07,1/1/07,C,C,C,9/1/07,5th
Targeted Employment Areas/Regional Centers,1/1/07,1/1/07,1/1/07,1/1/07,1/1/07,C,C,C,9/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/07,1st
2nd,C,4/1/04,C,C,1/1/06,C,C,C,10/1/07,2nd
3rd,8/1/02,4/22/01,4/22/01,8/1/02,9/1/01,C,C,C,10/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,10/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/07,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/07,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,10/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/07,1st
2nd,C,4/1/04,C,C,1/1/06,C,C,C,11/1/07,2nd
3rd,8/1/02,4/22/01,4/22/01,8/1/02,9/1/01,C,C,C,11/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,11/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,11/1/07,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/07,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,11/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/07,1st
2nd,C,1/1/02,C,C,1/1/03,C,C,C,12/1/07,2nd
3rd,9/1/02,5/1/01,4/22/01,9/1/02,10/15/01,C,C,C,12/1/07,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,12/1/07,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/07,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/07,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/07,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,12/1/07,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/08,1st
2nd,C,1/1/00,C,C,1/1/03,C,C,C,1/1/08,2nd
3rd,10/15/02,5/1/01,4/22/01,10/15/02,11/1/01,C,C,C,1/1/08,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,1/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,1/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/08,1st
2nd,C,U,C,C,1/1/03,C,C,C,2/1/08,2nd
3rd,11/1/02,5/8/01,4/22/01,11/1/02,11/15/01,C,C,C,2/1/08,3rd
Other Workers,10/1/01,10/1/01,10/1/01,10/1/01,10/1/01,C,C,C,2/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/08,1st
2nd,C,U,C,C,12/1/03,C,C,C,3/1/08,2nd
3rd,1/1/05,8/1/01,5/1/01,1/1/05,12/1/02,C,C,C,3/1/08,3rd
Other Workers,1/1/02,1/1/02,1/1/02,1/1/02,1/1/02,C,C,C,3/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,3/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/08,1st
2nd,C,12/1/03,C,C,12/1/03,C,C,C,4/1/08,2nd
3rd,7/1/05,10/1/01,10/1/01,7/1/05,2/8/03,C,C,C,4/1/08,3rd
Other Workers,3/1/02,3/1/02,3/1/02,3/1/02,3/1/02,C,C,C,4/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,4/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,4/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,4/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,5/1/08,1st
2nd,C,1/1/04,C,C,1/1/04,C,C,C,5/1/08,2nd
3rd,3/1/06,11/1/01,7/1/02,3/1/06,3/22/03,C,C,C,5/1/08,3rd
Other Workers,1/1/03,1/1/03,1/1/03,1/1/03,1/1/03,C,C,C,5/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,5/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,5/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,5/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,5/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,6/1/08,1st
2nd,C,4/1/04,C,C,4/1/04,C,C,C,6/1/08,2nd
3rd,3/1/06,11/1/01,7/1/02,3/1/06,3/22/03,C,C,C,6/1/08,3rd
Other Workers,1/1/03,1/1/03,1/1/03,1/1/03,1/1/03,C,C,C,6/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,6/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,6/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,6/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,6/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,7/1/08,1st
2nd,C,4/1/04,C,C,4/1/04,C,C,C,7/1/08,2nd
3rd,U,U,U,U,U,C,C,C,7/1/08,3rd
Other Workers,1/1/03,1/1/03,1/1/03,1/1/03,1/1/03,C,C,C,7/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,7/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,7/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,7/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,7/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,8/1/08,1st
2nd,C,6/1/06,C,C,6/1/06,C,C,C,8/1/08,2nd
3rd,U,U,U,U,U,C,C,C,8/1/08,3rd
Other Workers,U,U,U,U,U,C,C,C,8/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,8/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,8/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,8/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,8/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,9/1/08,1st
2nd,C,8/1/06,C,C,8/1/06,C,C,C,9/1/08,2nd
3rd,U,U,U,U,U,C,C,C,9/1/08,3rd
Other Workers,U,U,U,U,U,C,C,C,9/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,9/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,9/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,9/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,9/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,10/1/08,1st
2nd,C,4/1/03,C,C,4/1/04,C,C,C,10/1/08,2nd
3rd,1/1/05,7/1/01,7/1/02,1/1/05,10/1/01,C,C,C,10/1/08,3rd
Other Workers,1/1/03,1/1/03,1/1/03,1/1/03,1/1/03,C,C,C,10/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,10/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,10/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,10/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,10/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,11/1/08,1st
2nd,C,6/1/03,C,C,6/1/04,C,C,C,11/1/08,2nd
3rd,5/1/05,10/1/01,9/1/02,5/1/05,2/1/02,C,C,C,11/1/08,3rd
Other Workers,1/15/03,1/15/03,1/15/03,1/15/03,1/15/03,C,C,C,11/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,11/1/08,4th
Certain Religious Workers,U,U,U,U,U,C,C,C,11/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,11/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,11/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,12/1/08,1st
2nd,C,6/1/03,C,C,6/1/04,C,C,C,12/1/08,2nd
3rd,5/1/05,10/1/01,9/1/02,5/1/05,2/1/02,C,C,C,12/1/08,3rd
Other Workers,1/15/03,1/15/03,1/15/03,1/15/03,1/15/03,C,C,C,12/1/08,Other Workers
4th,C,C,C,C,C,C,C,C,12/1/08,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,12/1/08,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,12/1/08,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,12/1/08,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,1/1/09,1st
2nd,C,7/1/03,C,C,7/8/04,C,C,C,1/1/09,2nd
3rd,5/1/05,10/15/01,11/15/02,5/1/05,6/1/02,C,C,C,1/1/09,3rd
Other Workers,3/15/03,3/15/03,3/15/03,3/15/03,3/15/03,C,C,C,1/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,1/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,1/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,1/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,1/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,2/1/09,1st
2nd,C,1/1/04,C,C,1/1/05,C,C,C,2/1/09,2nd
3rd,5/1/05,10/15/01,4/1/03,5/1/05,10/1/02,C,C,C,2/1/09,3rd
Other Workers,3/15/03,10/15/01,10/15/01,3/15/03,10/1/02,C,C,C,2/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,2/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,2/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,2/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,3/1/09,1st
2nd,C,2/15/04,C,C,2/15/05,C,C,C,3/1/09,2nd
3rd,5/1/05,10/15/01,8/15/03,5/1/05,10/22/02,C,C,C,3/1/09,3rd
Other Workers,3/15/03,10/15/01,3/15/03,3/15/03,10/22/02,C,C,C,3/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,3/1/09,4th
Certain Religious Workers,C,C,C,C,C,C,C,C,3/1/09,Certain Religious Workers
5th,C,C,C,C,C,C,C,C,3/1/09,5th
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,3/1/09,5th Targeted Employment Areas
1st,C,C,C,C,C,C,C,C,4/1/09,1st
2nd,C,2/15/04,C,C,2/15/05,C,C,C,4/1/09,2nd
3rd,3/1/03,11/1/01,3/1/03,3/1/03,3/1/03,C,C,C,4/1/09,3rd
Other Workers,3/1/01,3/1/01,3/1/01,3/1/01,3/1/01,C,C,C,4/1/09,Other Workers
4th,C,C,C,C,C,C,C,C,4/1/09,4th
