Employment-Based,All_Chargeability_Except_Listed,INDIA,MEXICO,PHILIPPINES,CHINA-MAINLAND,DOMINICAN REPUBLIC,EL SALVADOR  GUATEMALA  HONDURAS,VIETNAM,time,Preference
3rd,2001-04-01,1999-06-01,2001-03-01,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2006-01-01,E3
Other Workers,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2001-04-01,2006-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-01-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-01-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-02-01,A
1st,C,2004-02-01,C,C,2003-01-01,C,C,C,2006-02-01,E1
2nd,C,2001-08-01,C,C,2002-04-01,C,C,C,2006-02-01,E2
3rd,2001-04-22,2000-01-01,2001-03-15,2001-04-22,2001-04-22,2001-04-22,2001-04-22,2001-04-22,2006-02-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2006-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-02-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-02-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-03-01,A
1st,C,2004-07-01,C,C,2003-07-01,C,C,C,2006-03-01,E1
2nd,C,2002-01-01,C,C,2002-07-01,C,C,C,2006-03-01,E2
3rd,2001-05-01,2001-01-01,2001-03-22,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2006-03-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2006-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-03-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-03-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-04-01,A
1st,C,2005-01-01,C,C,2004-01-01,C,C,C,2006-04-01,E1
2nd,C,2002-07-01,C,C,2003-01-01,C,C,C,2006-04-01,E2
3rd,2001-05-01,2001-02-01,2001-04-08,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2006-04-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2006-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-04-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-04-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-05-01,A
1st,C,2005-07-01,C,C,2004-07-01,C,C,C,2006-05-01,E1
2nd,C,2003-01-01,C,C,2004-01-01,C,C,C,2006-05-01,E2
3rd,2001-05-01,2001-03-01,2001-04-15,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2006-05-01,E3
Other Workers,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2000-10-01,2006-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-05-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-05-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-06-01,A
1st,C,2006-01-01,C,C,2005-07-01,C,C,C,2006-06-01,E1
2nd,C,2003-01-01,C,C,2004-07-01,C,C,C,2006-06-01,E2
3rd,2001-07-01,2001-04-08,2001-04-22,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2001-07-01,2006-06-01,E3
Other Workers,U,U,U,U,U,U,U,U,2006-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-06-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-06-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-07-01,A
1st,C,2006-01-01,C,C,C,C,C,C,2006-07-01,E1
2nd,C,2003-01-01,C,C,2005-03-01,C,C,C,2006-07-01,E2
3rd,2001-10-01,2001-04-15,2001-04-22,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2006-07-01,E3
Other Workers,U,U,U,U,U,U,U,U,2006-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-07-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-07-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-08-01,A
1st,C,2006-01-01,C,C,C,C,C,C,2006-08-01,E1
2nd,C,U,C,C,2005-03-01,C,C,C,2006-08-01,E2
3rd,2001-10-01,2001-04-01,2001-04-22,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2006-08-01,E3
Other Workers,U,U,U,U,U,U,U,U,2006-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-08-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-08-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-09-01,A
1st,C,C,C,C,C,C,C,C,2006-09-01,E1
2nd,C,U,C,C,2005-03-01,C,C,C,2006-09-01,E2
3rd,2002-03-01,2001-04-15,2001-04-22,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2006-09-01,E3
Other Workers,U,U,U,U,U,U,U,U,2006-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-09-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-09-01,E5
Schedule A Workers,C,C,C,C,C,C,C,C,2006-10-01,A
1st,C,C,C,C,C,C,C,C,2006-10-01,E1
2nd,C,2002-06-15,C,C,2005-04-01,C,C,C,2006-10-01,E2
3rd,2002-05-01,2001-04-22,2001-05-01,2002-05-01,2002-05-01,2002-05-01,2002-05-01,2002-05-01,2006-10-01,E3
Other Workers,2001-01-01,2001-01-01,2001-01-01,2001-01-01,2001-01-01,2001-01-01,2001-01-01,2001-01-01,2006-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-10-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2006-10-01,E5
Schedule A Workers,2005-10-01,2005-10-01,2005-10-01,2005-10-01,2005-10-01,2005-10-01,2005-10-01,2005-10-01,2006-11-01,A
1st,C,C,C,C,C,C,C,C,2006-11-01,E1
2nd,C,2003-01-01,C,C,2005-04-15,C,C,C,2006-11-01,E2
3rd,2002-07-01,2001-04-22,2001-05-08,2002-07-01,2002-07-01,2002-07-01,2002-07-01,2002-07-01,2006-11-01,E3
Other Workers,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2001-05-01,2006-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-11-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-11-01,E5
Schedule A Workers,U,U,U,U,U,U,U,U,2006-12-01,A
1st,C,C,C,C,C,C,C,C,2006-12-01,E1
2nd,C,2003-01-08,C,C,2005-04-22,C,C,C,2006-12-01,E2
3rd,2002-08-01,2001-04-22,2001-05-08,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2006-12-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2006-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2006-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2006-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2006-12-01,E5
Targeted Employ-ment Areas/Regional Centers,C,C,C,C,C,C,C,C,2006-12-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-12-01,SIV
Schedule A Workers,2004-06-15,2004-06-15,2004-06-15,2004-06-15,2004-06-15,2004-06-15,2004-06-15,2004-06-15,2007-01-01,A
1st,C,C,C,C,C,C,C,C,2007-01-01,E1
2nd,C,2003-01-08,C,C,2005-04-22,C,C,C,2007-01-01,E2
3rd,2002-08-01,2001-05-08,2001-05-15,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2007-01-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-01-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-01-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2007-01-01,SIV
1st,C,C,C,C,C,C,C,C,2007-02-01,E1
2nd,C,2003-01-08,C,C,2005-04-22,C,C,C,2007-02-01,E2
3rd,2002-08-01,2001-05-08,2001-05-15,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2007-02-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-02-01,E5
Targeted Employ-ment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-02-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2007-02-01,SIV
1st,C,C,C,C,C,C,C,C,2007-03-01,E1
2nd,C,2003-01-08,C,C,2005-04-22,C,C,C,2007-03-01,E2
3rd,2002-08-01,2001-05-08,2001-05-15,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2007-03-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-03-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-03-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2007-03-01,SIV
1st,C,C,C,C,C,C,C,C,2007-04-01,E1
2nd,C,2003-01-08,C,C,2005-04-22,C,C,C,2007-04-01,E2
3rd,2002-08-01,2001-05-08,2001-05-15,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2002-08-01,2007-04-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-04-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-04-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2007-04-01,SIV
1st,C,C,C,C,C,C,C,C,2007-05-01,E1
2nd,C,2003-01-08,C,C,2005-04-22,C,C,C,2007-05-01,E2
3rd,2003-08-01,2001-05-08,2001-05-15,2003-08-01,2002-08-01,2003-08-01,2003-08-01,2003-08-01,2007-05-01,E3
Other Workers,U,U,U,U,U,U,U,U,2007-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-05-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-05-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2007-05-01,SIV
1st,C,C,C,C,C,C,C,C,2007-06-01,E1
2nd,C,2004-04-01,C,C,2006-01-01,C,C,C,2007-06-01,E2
3rd,2005-06-01,2003-06-01,2003-06-01,2005-06-01,2003-06-01,2005-06-01,2005-06-01,2005-06-01,2007-06-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-06-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-06-01,E5
Iraqi & Afghani Translators,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2006-09-18,2007-06-01,SIV
1st,C,C,C,C,C,C,C,C,2007-07-01,E1
2nd,C,C,C,C,C,C,C,C,2007-07-01,E2
3rd,C,C,C,C,C,C,C,C,2007-07-01,E3
Other Workers,U,U,U,U,U,U,U,U,2007-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-07-01,E5
Targeted Employment Areas/Regional Centers,C,C,C,C,C,C,C,C,2007-07-01,E5
Iraqi & Afghani Translators,C,C,C,C,C,C,C,C,2007-07-01,SIV
1st,U,U,U,U,U,U,U,U,2007-08-01,E1
2nd,U,U,U,U,U,U,U,U,2007-08-01,E2
3rd,U,U,U,U,U,U,U,U,2007-08-01,E3
Other Workers,U,U,U,U,U,U,U,U,2007-08-01,E3_U
4th,U,U,U,U,U,U,U,U,2007-08-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2007-08-01,E4_R
5th,U,U,U,U,U,U,U,U,2007-08-01,E5
Targeted Employment Areas/Regional Centers,U,U,U,U,U,U,U,U,2007-08-01,E5
1st,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-09-01,E1
2nd,2007-01-01,2004-04-01,2007-01-01,2007-01-01,2006-01-01,2007-01-01,2007-01-01,2007-01-01,2007-09-01,E2
3rd,2002-08-01,U,U,2002-08-01,U,2002-08-01,2002-08-01,2002-08-01,2007-09-01,E3
Other Workers,U,U,U,U,U,U,U,U,2007-09-01,E3_U
4th,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-09-01,E4
Certain Religious Workers,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-09-01,E4_R
5th,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-09-01,E5
Targeted Employment Areas/Regional Centers,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-01-01,2007-09-01,E5
1st,C,C,C,C,C,C,C,C,2007-10-01,E1
2nd,C,2004-04-01,C,C,2006-01-01,C,C,C,2007-10-01,E2
3rd,2002-08-01,2001-04-22,2001-04-22,2002-08-01,2001-09-01,2002-08-01,2002-08-01,2002-08-01,2007-10-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-10-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2007-10-01,E5
1st,C,C,C,C,C,C,C,C,2007-11-01,E1
2nd,C,2004-04-01,C,C,2006-01-01,C,C,C,2007-11-01,E2
3rd,2002-08-01,2001-04-22,2001-04-22,2002-08-01,2001-09-01,2002-08-01,2002-08-01,2002-08-01,2007-11-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-11-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-11-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2007-11-01,E5
1st,C,C,C,C,C,C,C,C,2007-12-01,E1
2nd,C,2002-01-01,C,C,2003-01-01,C,C,C,2007-12-01,E2
3rd,2002-09-01,2001-05-01,2001-04-22,2002-09-01,2001-10-15,2002-09-01,2002-09-01,2002-09-01,2007-12-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2007-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2007-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2007-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2007-12-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2007-12-01,E5
1st,C,C,C,C,C,C,C,C,2008-01-01,E1
2nd,C,2000-01-01,C,C,2003-01-01,C,C,C,2008-01-01,E2
3rd,2002-10-15,2001-05-01,2001-04-22,2002-10-15,2001-11-01,2002-10-15,2002-10-15,2002-10-15,2008-01-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2008-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-01-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-01-01,E5
1st,C,C,C,C,C,C,C,C,2008-02-01,E1
2nd,C,U,C,C,2003-01-01,C,C,C,2008-02-01,E2
3rd,2002-11-01,2001-05-08,2001-04-22,2002-11-01,2001-11-15,2002-11-01,2002-11-01,2002-11-01,2008-02-01,E3
Other Workers,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2001-10-01,2008-02-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-02-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-02-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-02-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-02-01,E5
1st,C,C,C,C,C,C,C,C,2008-03-01,E1
2nd,C,U,C,C,2003-12-01,C,C,C,2008-03-01,E2
3rd,2005-01-01,2001-08-01,2001-05-01,2005-01-01,2002-12-01,2005-01-01,2005-01-01,2005-01-01,2008-03-01,E3
Other Workers,2002-01-01,2002-01-01,2002-01-01,2002-01-01,2002-01-01,2002-01-01,2002-01-01,2002-01-01,2008-03-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-03-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-03-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-03-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-03-01,E5
1st,C,C,C,C,C,C,C,C,2008-04-01,E1
2nd,C,2003-12-01,C,C,2003-12-01,C,C,C,2008-04-01,E2
3rd,2005-07-01,2001-10-01,2001-10-01,2005-07-01,2003-02-08,2005-07-01,2005-07-01,2005-07-01,2008-04-01,E3
Other Workers,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2002-03-01,2008-04-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-04-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-04-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-04-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-04-01,E5
1st,C,C,C,C,C,C,C,C,2008-05-01,E1
2nd,C,2004-01-01,C,C,2004-01-01,C,C,C,2008-05-01,E2
3rd,2006-03-01,2001-11-01,2002-07-01,2006-03-01,2003-03-22,2006-03-01,2006-03-01,2006-03-01,2008-05-01,E3
Other Workers,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2008-05-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-05-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-05-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-05-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-05-01,E5
1st,C,C,C,C,C,C,C,C,2008-06-01,E1
2nd,C,2004-04-01,C,C,2004-04-01,C,C,C,2008-06-01,E2
3rd,2006-03-01,2001-11-01,2002-07-01,2006-03-01,2003-03-22,2006-03-01,2006-03-01,2006-03-01,2008-06-01,E3
Other Workers,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2008-06-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-06-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-06-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-06-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-06-01,E5
1st,C,C,C,C,C,C,C,C,2008-07-01,E1
2nd,C,2004-04-01,C,C,2004-04-01,C,C,C,2008-07-01,E2
3rd,U,U,U,U,U,U,U,U,2008-07-01,E3
Other Workers,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2008-07-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-07-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-07-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-07-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-07-01,E5
1st,C,C,C,C,C,C,C,C,2008-08-01,E1
2nd,C,2006-06-01,C,C,2006-06-01,C,C,C,2008-08-01,E2
3rd,U,U,U,U,U,U,U,U,2008-08-01,E3
Other Workers,U,U,U,U,U,U,U,U,2008-08-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-08-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-08-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-08-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-08-01,E5
1st,C,C,C,C,C,C,C,C,2008-09-01,E1
2nd,C,2006-08-01,C,C,2006-08-01,C,C,C,2008-09-01,E2
3rd,U,U,U,U,U,U,U,U,2008-09-01,E3
Other Workers,U,U,U,U,U,U,U,U,2008-09-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-09-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-09-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-09-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-09-01,E5
1st,C,C,C,C,C,C,C,C,2008-10-01,E1
2nd,C,2003-04-01,C,C,2004-04-01,C,C,C,2008-10-01,E2
3rd,2005-01-01,2001-07-01,2002-07-01,2005-01-01,2001-10-01,2005-01-01,2005-01-01,2005-01-01,2008-10-01,E3
Other Workers,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2003-01-01,2008-10-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-10-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-10-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-10-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-10-01,E5
1st,C,C,C,C,C,C,C,C,2008-11-01,E1
2nd,C,2003-06-01,C,C,2004-06-01,C,C,C,2008-11-01,E2
3rd,2005-05-01,2001-10-01,2002-09-01,2005-05-01,2002-02-01,2005-05-01,2005-05-01,2005-05-01,2008-11-01,E3
Other Workers,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2008-11-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-11-01,E4
Certain Religious Workers,U,U,U,U,U,U,U,U,2008-11-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-11-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-11-01,E5
1st,C,C,C,C,C,C,C,C,2008-12-01,E1
2nd,C,2003-06-01,C,C,2004-06-01,C,C,C,2008-12-01,E2
3rd,2005-05-01,2001-10-01,2002-09-01,2005-05-01,2002-02-01,2005-05-01,2005-05-01,2005-05-01,2008-12-01,E3
Other Workers,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2003-01-15,2008-12-01,E3_U
4th,C,C,C,C,C,C,C,C,2008-12-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2008-12-01,E4_R
5th,C,C,C,C,C,C,C,C,2008-12-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2008-12-01,E5
1st,C,C,C,C,C,C,C,C,2009-01-01,E1
2nd,C,2003-07-01,C,C,2004-07-08,C,C,C,2009-01-01,E2
3rd,2005-05-01,2001-10-15,2002-11-15,2005-05-01,2002-06-01,2005-05-01,2005-05-01,2005-05-01,2009-01-01,E3
Other Workers,2003-03-15,2003-03-15,2003-03-15,2003-03-15,2003-03-15,2003-03-15,2003-03-15,2003-03-15,2009-01-01,E3_U
4th,C,C,C,C,C,C,C,C,2009-01-01,E4
Certain Religious Workers,C,C,C,C,C,C,C,C,2009-01-01,E4_R
5th,C,C,C,C,C,C,C,C,2009-01-01,E5
Targeted Employment Areas/ Regional Centers,C,C,C,C,C,C,C,C,2009-01-01,E5
1st,C,C,C,C,C,C,C,C,2009-02-01,E1
2nd,C,2004-01-01,C,C,2005-01-01,C,C,C,2009-02-01,E2
3rd,2005-05-01,2001-10-15,2003-04-01,2005-05-01,2002-10-01,2005-05-01,2005-05-01,2005-05-01,2009-02-01,E3
